技术,参数-尺寸-角-环境-系数,温度,强度,能量,性能,度,率,量,值,换热器,压力容器,容器,反应器,蒸发器,发生器,搅拌器,过滤器,过热器,器,球罐,储罐,罐,塔,瓶,釜,床,筒,炉,管道,接头,设备,设计-制造-工艺,处理,评价-安全-强度,分析,有限元-模拟,理论-效应,封头,壳-层-壁,接管,法兰,螺,板,杆,管,轮,热,流-液,气-氢,酸,标准-规范-准则,法,场-方程-公式-模型,焊接,焊缝,焊,疲劳,腐蚀,断裂,爆炸-火灾,损伤-缺陷-失效,检测-检验,预测-试验-实验-测试,压力,应力-载荷,力-功,钢,铁,钛,金-金属-材料,结构,性,变形-成形,形,水
储氢技术,组合校正系数,终轧温度,强度胀,低温冲击吸收能量KV2,性能,自重变形圆度,屈服率,涡通量,数值模型,弓形折流板换热器,矩形截面压力容器,容器制造,氯化反应器,蒸发器,蒸汽发生器传热管,搅拌器,蒸汽过滤器,后屏过热器,氢气预热器,球罐整体热处理,105m3储罐,内罐,塔板,非重复充装钢瓶,卡箍式快开釜,吸收床,导流筒,CrMo钢炉管,管道系统,热熔接头,超大型设备,应力分析设计,整体热处理,核安全,回归分析,屈曲模拟计算,板壳理论,封头拼缝,外护层破坏,开孔接管补强,人孔法兰,螺旋流,管子管板焊缝,拉杆,翅片对流管,棘轮变形,传热与流动准则式,全流通内夹套,抗氢钢焊缝,有机酸,标准,激光扫描法,现场组对,翻边锥体焊接,曲线焊缝,焊材,疲劳裂纹扩展,含硫腐蚀性杂质,韧性断裂,爆炸窗口,失效机理,漏磁检测,应力测试,接触压力,应力监测,内压和轴向力,304奥氏体不锈钢,磁铁,钛合金,材料劣化,结构,弹性交互作用,挠曲变形,C形密封环,汽水循环
三项核心技术,塑性折减系数,转变温度,当量屈服强度,大线能量用钢,抗震性能,管板厚度,重复频率,对口错边量,数值模拟,纵流壳程换热器,复合材料缠绕压力容器,矩形截面容器,在役加氢反应器,乙二醇装置零效蒸发器,热管蒸汽发生器,转定子式搅拌器,高压飞灰过滤器,蒸汽过热器,催化再生器,丙烯球罐,石油储罐,丙烷卧罐,三聚氰胺废水分解塔,高压空气瓶,脱蜡釜,焦床,筒体开孔补强,火管锅炉,核辅助管道,钢制对接焊接接头,核电站主设备,模块化设计,焊后热处理,安全仪表系统SIS,自增强分析,模拟退火算法,理论研究,凹形封头,层板,接管纵向弯矩,长颈法兰,螺旋内肋扭曲管,CAXA电子图板,导波杆,弯管,热应力棘轮,加热槽,液化气体,硫化氢应力腐蚀损伤,酸洗,规范标准,依法治特,Mises公式,异种钢焊接,309L焊缝金属,焊环,腐蚀疲劳,晶间腐蚀,弹塑性断裂,火灾爆炸,疑似缺陷,非开挖检测,测试,动水压力,最大Mises应力,冲击功,奥氏体不锈钢,铸铁,TA2纯钛,镍基合金内环更换,裙座锻造结构,方向性,成形,V形密封槽,欧洲先进压水堆EPR
建造技术,磁硬度系数,非均匀温度场,高强度钢,能量,腐蚀性能,安全裕度,伸长率换算,参量,疲劳门槛值,网丝多孔式微型换热器,碟形封头压力容器,储氢容器,气相反应器,氯化钡蒸发器,蒸汽发生器,,,顶棚过热器,重沸器,大型液化气球罐,低温储罐单层,外罐,硝酸吸收塔,CNG气瓶,超高压人造水晶釜,,厚壁圆筒,气化炉,管道施工,法兰螺栓接头,核电设备用金属复合板,设计方法,最大模拟热处理,安全附件,信号分析,水力模拟试验,有效应力图法,带法兰封头,耐蚀层,烧嘴接管,法兰密封系统,螺旋槽机械密封,爆炸复合板,波导杆,金属波纹软管,涡流轮廓曲线法,过热蒸汽流,气固两相流,硫化氢腐蚀,碳酸盐,材料规范,加载方法,应变硬化模型,圆形焊接附件,纯铝焊缝,CRC全自动焊,蠕变—疲劳,Cl应力腐蚀裂纹,断裂力学,泄放阀火灾,缺陷的产生原因,超声波检测,冷模试验,压力控制,应力评定,回弹力,2020G钢,铁素体,钛,钒微合金化,紧凑结构,经济性,循环变形,形变诱导马氏体,连续注水
磁记忆技术,海洋环境,温度场分布,抗剪强度,能量释放,拉伸性能,粗糙度,升压速率,独立分量,有限元数值仿真,高压换热器,核级压力容器,绕带容器,超高压管式反应器,蒸发器传热管,蒸汽发生器制造,,,过热器,高压预冷器,10000m3球罐,立式储罐,LNG罐箱,悬挂式塔设备,高纯气体气瓶,搪瓷反应釜,,锅筒,锅炉密封,蒸汽管道,胀接接头,大型化工设备,焊接工艺,分析与处理,安全连锁,断裂分析,统计模拟,胶层效应,球冠形中间封头,壁厚测定,矩形接管,法兰螺纹,螺栓载荷,轧制复合钢板,小冲杆测试,管子,多轮次,双热丝钨极氩弧焊,液压胀接,空气侧压降,硝酸盐,通用型焊接评定标准,测试方法,三维断裂力学模型,异种金属焊接,异种钢焊缝,焊道排布,双轴疲劳,点腐蚀,应力断裂,爆炸危害,缺陷定位,TOFD自动超声检测,试验测试,事故压力,应力评估,力磁耦合,低温用钢,铸铁烘缸,钛材,A350锻造材料,复杂结构,贯穿性裂纹,预变形,伞形支架,水冷
自动化技术,参数化分析,温度范围,高温持久强度,线能量,阻力性能,极限浓度,传热效率,附加质量,权值差除法,纵流管壳式换热器,齿啮式快开压力容器,球形容器,煤业化反应器,油浆蒸发器,转化气蒸汽发生器,,,余热锅炉过热器,100t变位器,乙烯低温球罐,支架式球形储罐,蜡油加氢热高分罐,超重、超大直径薄壁塔设备,储氢瓶,反应釜,,锅筒纵缝,锅炉水,管道焊接,异质接头,国产CF62钢制设备,设计疲劳曲线,局部焊后热处理,安全等级划分,接触分析,有限元模型,多轴棘轮效应,下封头,U型壳,接管补强,锚固法兰,地脚螺栓,金属复合板,折流杆,腐蚀管理,棘轮极限,热影响区,单元流道模型,氢氟酸,高温硫环烷酸腐蚀,验收标准,田口方法,自增强模型,深孔焊接,铝焊缝,宽带极堆焊,应力疲劳,腐蚀损伤,延性断裂,爆炸胀接,初始缺陷,泄漏检测,重新评估试验,临界压力,垫片应力分布,力学响应,X70钢,非铁基材料,工业纯钛,材料选择,微观结构,脆性破坏,温成形,正方形排布,静水压
固定式压力容器安全技术监察规程,角焊缝,温度场,结构强度,大线能量焊接用钢,材料力学性能,接触宽度,功率谱,等效模量,ANSYS数值模拟,固定式换热器,压力容器标准,低温容器,高温反应器,薄膜蒸发器,核电蒸汽发生器,,,,汽水分离再热器MSR,天然气球罐,储罐底板,罐箱,塔设备,CNGⅡ气瓶,蒸压釜,,圆筒,还原炉,海底管道,T型接头,主设备,优化设计,模拟焊后热处理,安全,失效风险分析,有限元法,套合效应,标准椭圆封头,薄壁结构,多开孔接管,法兰结构,螺纹锁紧环,防波板,小冲杆,管口焊,棘轮,一维传热模型,气液两相流动,抗氢钢,连多硫酸,标准漏孔,SchwartzNeuman交替法,应力场,焊接电极,焊缝金属,等离子弧焊,高温疲劳,腐蚀裂纹,断裂韧性,火灾事故,损伤积累,检测方向,对比试验,标定爆破压力,一次应力,受力平衡,980钢,铁基材料,碳化钛,尿素级材料,新型支承结构,弹性安定性,失稳变形,断口形貌,回注水
TOFD检测技术,TTP参数法,温度分析,剪切强度,大焊接线能量用钢,性能分析,塔顶挠度的计算,失效概率,搭接量,峰值应力,钛制列管式换热器,铸铁压力容器,复合型多层真空绝热低温容器,加氢反应器,,中压乙炔发生器,,,,再生器,不锈钢球罐,储罐模型,LPG覆土罐,复合钢板塔,缠绕气瓶,超高压水晶釜,,套筒,Cr5Mo炉管,焊接管道,法兰接头,脱硫设备,堆焊工艺,二次热处理,安全泄放装置,有限元应力分析,三维有限元,焦耳汤姆逊效应,2∶1碟形封头,复合壳,正交接管,焊唇密封法兰,螺纹联接,焊接试板,小冲杆试验法,中心管,热棘轮,热挤压,液氨,高温气冷堆,托普索WSA制硫酸装置,标准化残差法,蒙特卡洛法,极限状态方程,焊接残余应力,环焊缝,半自动焊,疲劳试验,腐蚀与防护,韧脆转变断裂韧性,爆炸成形,面积型缺陷,超声检测,冲击试验,自增强压力,最大周向应力,内积功,SA516Gr70钢,球墨铸铁,钛材牌号,HP40合金,端部结构,完整性评估,变形协调,胀形,给水
技术应用,振型相关系数,多温度,高强度钢瓶,小冲杆能量,传热性能,Cl浓度,压缩率,定量研究,数值分析,加氢换热器,反应堆压力容器钢,液氢容器,聚合反应器,,AP1000蒸汽发生器,,,,并排塔器,真空球罐,大型立式储罐,沥青贮罐,焦炭塔的制造,CNG2复合气瓶,加压釜,,内衬筒,第一废热锅炉,水平管道,焊接接头,制氧设备,工艺装备,消应力处理,结构安全,疲劳分析,屈曲模拟,载荷历程效应,碟形封头,层次结构,出口接管,整体法兰,螺栓拉伸力,波纹板,波形折流杆,异径管,蠕变棘轮,绝热剪切线,羽流现象,气孔,连多硫酸腐蚀,工程标准,屈服应力法,高温本构模型,衬里焊接,单面对接焊缝,冷焊,疲劳评定,高温硫腐蚀,脆性断裂,火灾工况,失效预防,高效检测,危害预测,残余接触压力,环向膜应力,作用力,钢结构,防铁污染,,金相组织,界面结构,可靠性,冷冲压成形,形状允差,深水
技术装备,环境加速因子,Ms温度,静强度,能量值,密封性能,真密度测试,稀释率,特征参量,数值试验,微型换热器,压力容器清洁厂房,2类容器,反应器,,蒸汽发生器管嘴,,,,大型塔器,乙烯球罐,油气储罐,储油罐,CO2吸收塔,长管拖车气瓶,搅拌反应釜,,短圆筒,锅炉管道焊缝,管道失效,对接焊接接头,化工设备,修补工艺优化,热成型及热处理,安全措施补偿,损伤分析,有限元,动力学理论,椭圆形封头,椭球壳体,大直径接管,管箱法兰,螺旋缝埋弧焊管,不锈钢复合钢板,小冲杆试验,低翅片管,汽轮机,热输出,湍流激振,氢损伤,醋酸,国际标准,政策法规,简化模型,电子束焊接,焊缝缺陷,手工电弧焊,疲劳排除,氧化氯化腐蚀,延性韧窝断裂,化学爆炸,失效评定图,检验策略,耐压试验,压力,塑性载荷,复合力矩,钢锻件,δ铁素体,,微合金化,拉撑结构,高效性,控制变形,控制形变,水锤
