技术,参数-尺寸-角-环境-系数,温度,强度,能量,性能,度,率,量,值,设备,设计-制造,处理,评价-安全-强度,分析,有限元-模拟,理论-效应,疲劳,腐蚀,断裂,爆炸-火灾,损伤-缺陷-失效,检测-检验,预测-试验-实验-测试,接头,封头,壳-层-壁,接管,管道,法兰,螺,杆,管,轮,板,换热器,压力容器,容器,反应器,蒸发器,发生器,搅拌器,过滤器,过热器,器,球罐,储罐,罐,塔,瓶,釜,床,筒,炉,热,流-液,气-氢,酸,标准-规范-准则,法,场-方程-公式-模型,焊接,焊缝,焊,压力,应力-载荷	,力-功,钢,铁,钛,金-金属-材料,结构,性,变形-成形,形,水
储氢技术,组合校正系数,终轧温度,强度胀,低温冲击吸收能量KV2,性能,自重变形圆度,屈服率,涡通量,数值模型,超大型设备,应力分析设计,冷拉处理,核安全,回归分析,屈曲模拟计算,板壳理论,疲劳裂纹扩展,晶间腐蚀,三维断裂力学模型,爆炸窗口,失效机理,漏磁检测,应力测试,热熔接头,封头拼缝,外护层破坏,开孔接管补强,管道系统,人孔法兰,螺旋流,拉杆,管子管板焊缝,棘轮变形,塔板,网丝多孔式微型换热器,矩形截面压力容器,矩形截面容器,氯化反应器,蒸发器,蒸汽发生器,搅拌器,蒸汽过滤器,后屏过热器,氢气预热器,丙烯球罐,105m3储罐,内罐,CO2吸收塔,非重复充装钢瓶,卡箍式快开釜,吸收床,导流筒,气化炉,传热与流动准则式,全流通内夹套,扩散氢,有机酸,标准,激光扫描法,现场组对,翻边锥体焊接,曲线焊缝,焊材,接触压力,应力监测,内压和轴向力,304奥氏体不锈钢,磁铁,TA2纯钛,材料劣化,结构,弹性交互作用,挠曲变形,C形密封环,汽水循环
三项核心技术,塑性折减系数,转变温度,当量屈服强度,大线能量用钢,抗震性能,管板厚度,重复频率,对口错边量,K均值聚类,核电站主设备,模块化设计,球罐整体热处理,安全仪表系统SIS,自增强分析,模拟退火算法,理论研究,腐蚀疲劳,Cl应力腐蚀裂纹,韧性断裂,火灾爆炸,失效可能性,非开挖检测,测试,钢制对接焊接接头,碟形封头压力容器,层板,接管纵向弯矩,核辅助管道,长颈法兰,螺旋内肋扭曲管,导波杆,CrMo钢炉管,热应力棘轮,CAXA电子图板,高压换热器,复合材料缠绕压力容器,储氢容器,在役加氢反应器,乙二醇装置零效蒸发器,转化气蒸汽发生器,转定子式搅拌器,高压飞灰过滤器,蒸汽过热器,催化再生器,大型液化气球罐,石油储罐,丙烷卧罐,氨合成塔内件,高压空气瓶,脱蜡釜,焦床,筒体开孔补强,锅炉密封,加热槽,液化气体,空气侧压降,酸洗,规范标准,依法治特,Mises公式,异种钢焊接,309L焊缝金属,焊环,动水压力,最大Mises应力,冲击功,奥氏体不锈钢,铸铁,钛,镍基合金内环更换,裙座锻造结构,方向性,成形,V形密封槽,欧洲先进压水堆EPR
建造技术,磁硬度系数,非均匀温度场,高强度钢,能量,腐蚀性能,安全裕度,伸长率换算,参量,疲劳门槛值,核电设备用金属复合板,容器制造,消氢处理,安全附件,信号分析,水力模拟试验,有效应力图法,蠕变—疲劳,点腐蚀,沿晶断裂,泄放阀火灾,疑似缺陷,超声波检测,冷模试验,法兰螺栓接头,凹形封头,智能夹层,烧嘴接管,管道施工,法兰密封系统,螺旋槽机械密封,波导杆,翅片对流管,涡流轮廓曲线法,弓形折流板换热器,固定式换热器,核级压力容器,绕带容器,气相反应器,氯化钡蒸发器,核电蒸汽发生器,,,顶棚过热器,重沸器,10000m3球罐,立式储罐,外罐,吸收塔,CNG气瓶,超高压人造水晶釜,,锅筒,锅炉水,过热蒸汽流,气固两相流,高压加氢裂化,碳酸盐,材料规范,加载方法,应变硬化模型,圆形焊接附件,纯铝焊缝,CRC全自动焊,压力控制,应力评定,阻力特性,2020G钢,铁素体,钛材,钒微合金化,紧凑结构,经济性,成形工艺评定,形变诱导马氏体,连续注水
磁记忆技术,海洋环境,温度场分布,抗剪强度,能量释放,拉伸性能,粗糙度,升压速率,独立分量,数值模拟,大型化工设备,设计方法,调质处理,功能安全完整性评估,断裂分析,统计模拟,胶层效应,双轴疲劳,含硫腐蚀性杂质,等效断裂应变,爆炸复合板,缺陷的产生原因,TOFD自动超声检测,试验测试,胀接接头,带法兰封头,耐蚀层,焊接管道,蒸汽管道,法兰螺纹,螺纹锁紧环高压换热器,浮头式折流杆冷凝器,火管锅炉,多轮次,轧制复合钢板,加氢换热器,压力容器完整性,球形容器,煤业化反应器,油浆蒸发器,中压乙炔发生器,,,过热器,高压预冷器,乙烯低温球罐,支架式球形储罐,LNG罐箱,高耸塔,高纯气体气瓶,搪瓷反应釜,,锅筒纵缝,还原炉,双热丝钨极氩弧焊,液压胀接,高温气冷堆,硝酸盐,通用型焊接评定标准,田口方法,自增强模型,异种金属焊接,异种钢焊缝,焊道排布,事故压力,应力评估,惯性力,低温用钢,铸铁烘缸,工业纯钛,A350锻造材料,结构完整性,贯穿性裂纹,循环变形,伞形支架,水冷
自动化技术,参数化分析,温度范围,高温持久强度,线能量,阻力性能,极限浓度,传热效率,附加质量,数值研究,国产CF62钢制设备,设计疲劳曲线,处理工艺,安全性分析,接触分析,有限元模型,多轴棘轮效应,应力疲劳,腐蚀管理,弹塑性断裂,爆炸危害,缺陷定位,泄漏检测,重新评估试验,异质接头,球冠形中间封头,壁厚测定,矩形接管,管道焊接,锚固法兰,螺栓载荷,折流杆换热器,弯管,棘轮极限,金属复合板,微型换热器,齿啮式快开压力容器,低温容器,高温反应器,薄膜蒸发器,AP1000蒸汽发生器,,,余热锅炉过热器,100t变位器,天然气球罐,储罐模型,蜡油加氢热高分罐,氨合成塔,储氢瓶,反应釜,,圆筒,第一废热锅炉,热影响区,单元流道模型,煤制氢,连多硫酸,验收标准,SchwartzNeuman交替法,应力场,焊接工艺,铝焊缝,宽带极堆焊,临界压力,垫片应力分布,回弹力,X70钢,非铁基材料,碳化钛,材料选择,复杂结构,脆性破坏,预变形,正方形排布,静水压
固定式压力容器安全技术监察规程,TTP参数法,温度场,结构强度,大线能量焊接用钢,材料力学性能,接触宽度,功率谱,等效模量,权值差除法,主设备,优化设计,整体热处理,安全连锁,弹塑性应力分析方法,有限元法,热弹塑性效应,高温疲劳,腐蚀损伤,蠕变断裂,爆炸胀接,初始缺陷,检测方向,对比试验,T型接头,下封头,纵流壳程换热器,接管补强,海底管道,法兰结构,地脚螺栓,折流杆,金属波纹软管,棘轮,防波板,换热器圆筒,压力容器标准,液氢容器,加氢反应器,,,,,,汽水分离再热器MSR,不锈钢球罐,大型立式储罐,罐箱,放空塔,CNGⅡ气瓶,蒸压釜,,套筒,加压气化炉炉体,局部换热特性,气液两相流动,抗氢钢,托普索WSA制硫酸装置,标准漏孔,蒙特卡洛法,极限状态方程,深孔焊接,焊缝金属,等离子弧焊,标定爆破压力,一次应力,力磁耦合,980钢,铁基材料,钛材牌号,尿素级材料,微观结构,弹性安定性,温成形,断口形貌,回注水
TOFD检测技术,振型相关系数,温度分析,剪切强度,大焊接线能量用钢,性能分析,塔顶挠度的计算,失效概率,搭接量,侧膨胀值,脱硫设备,按分析设计,处理,安全等级划分,失效风险分析,三维有限元,套合效应,疲劳试验,硫化氢应力腐蚀损伤,断裂力学,火灾事故,塑性损伤,超声检测,冲击试验,法兰接头,标准椭圆封头,U型壳,多开孔接管,锅炉管道焊缝,焊唇密封法兰,螺纹锁紧环,小冲杆,管子,热棘轮,焊接试板,蓄热换热器,铸铁压力容器,2类容器,聚合反应器,,,,,,再生器,真空球罐,油气储罐,LPG覆土罐,异构化原料分离塔,缠绕气瓶,超高压水晶釜,,内衬筒,锅炉用钢,一维传热模型,液氨,去氢,醋酸,标准化残差法,屈服应力法,高温本构模型,焊接电极,环焊缝,半自动焊,自增强压力,最大周向应力,力学响应,SA516Gr70钢,球墨铸铁,钛合金,HP40合金,新型支承结构,水密性,失稳变形,胀形,给水
技术应用,环境加速因子,多温度,高强度钢瓶,小冲杆能量,传热性能,Cl浓度,压缩率,定量研究,数值计算,制氧设备,制造与检验,SR处理,安全,有限元应力分析,屈曲模拟,焦耳汤姆逊效应,热疲劳开裂,硫化氢腐蚀,延性断裂,爆炸成形,损伤积累,高效检测,测试方法,焊接接头,2∶1碟形封头,薄壁结构,正交接管,水平管道,整体法兰,螺纹联接,波形折流杆,管口焊,蠕变棘轮,板式热交换器,微通道换热器,反应堆压力容器钢,FRP复合材料容器,反应器,,,,,,并排塔器,乙烯球罐,原油储罐,沥青贮罐,常压塔,CNG2复合气瓶,加压釜,,短圆筒,氨氧化炉,热挤压,羽流现象,加氢尾油,酸洗钝化,工程标准,政策法规,简化模型,焊接残余应力,单面对接焊缝,冷焊,残余接触压力,环向膜应力,介质惯性力,钢结构,防铁污染,,金相组织,高温结构完整性,完整性评估,变形协调,形状允差,深水
技术装备,等效应力集中系数,Ms温度,静强度,能量值,密封性能,真密度测试,稀释率,特征参量,模糊c均值,化工设备,泄放设计标准,分析与处理,安全泄放装置,敏感性分析,有限元,线弹性理论,疲劳评定,应力腐蚀开裂敏感性,应力断裂,火灾工况,面积型缺陷,检验策略,危害预测,对接焊接接头,碟形封头,低温储罐单层,出口接管,西气东输二线管道工程,管箱法兰,螺栓拉伸力,,中心管,汽轮机,波纹板,新乏蒸汽换热器,压力容器清洁厂房,容器,氧化反应器,,,,,,大型塔器,高压球罐,危险化学品储罐,储油罐,塔顶馏出线,人工缺口钢瓶,搅拌反应釜,,吊篮筒体,高压气淬炉,绝热剪切线,湍流激振,气孔,亚硝酸盐,国际标准,几何算法,韧性换算模型,衬里焊接,焊缝,堆焊工艺,压力,周向应力,弹性塑性力学,钢锻件,δ铁素体,,微合金化,端部结构,可靠性,冷冲压成形,控制形变,水锤
